,state,ca_monthly,age_group,poverty_rate
1857,Florida,250,child,10.8
1860,Florida,275,child,10.4
1863,Florida,300,child,9.8
1866,Florida,325,child,9.6
1869,Florida,350,child,9.2
1872,Florida,375,child,8.6
1875,Florida,400,child,8.3
1878,Florida,425,child,7.8
1881,Florida,450,child,7.5
1884,Florida,475,child,7.0
1887,Florida,500,child,6.4
1764,Georgia,0,child,17.0
1767,Georgia,25,child,16.7
1770,Georgia,50,child,16.1
1773,Georgia,75,child,15.4
1776,Georgia,100,child,14.4
1779,Georgia,125,child,12.7
1782,Georgia,150,child,11.6
1785,Georgia,175,child,11.3
1788,Georgia,200,child,10.8
1791,Georgia,225,child,9.7
1794,Georgia,250,child,9.0
1797,Georgia,275,child,8.7
1800,Georgia,300,child,8.3
1803,Georgia,325,child,7.8
1806,Georgia,350,child,7.5
1809,Georgia,375,child,7.1
1812,Georgia,400,child,7.0
1815,Georgia,425,child,6.7
1818,Georgia,450,child,5.8
1821,Georgia,475,child,5.0
1824,Georgia,500,child,4.7
3150,Hawaii,0,child,16.1
3153,Hawaii,25,child,15.2
3156,Hawaii,50,child,14.5
3159,Hawaii,75,child,14.2
3162,Hawaii,100,child,13.5
3165,Hawaii,125,child,12.7
3168,Hawaii,150,child,12.1
3171,Hawaii,175,child,11.0
3174,Hawaii,200,child,9.7
3177,Hawaii,225,child,9.0
3180,Hawaii,250,child,8.5
3183,Hawaii,275,child,7.9
3186,Hawaii,300,child,7.0
3189,Hawaii,325,child,6.8
3192,Hawaii,350,child,6.8
3195,Hawaii,375,child,6.8
3198,Hawaii,400,child,6.6
3201,Hawaii,425,child,6.6
3204,Hawaii,450,child,6.0
3207,Hawaii,475,child,4.9
3210,Hawaii,500,child,4.4
2457,Idaho,0,child,7.6
2460,Idaho,25,child,6.6
2463,Idaho,50,child,6.4
2466,Idaho,75,child,5.7
2469,Idaho,100,child,5.0
2472,Idaho,125,child,4.5
2475,Idaho,150,child,4.4
2478,Idaho,175,child,4.1
2481,Idaho,200,child,3.6
2484,Idaho,225,child,3.2
2487,Idaho,250,child,2.8
2490,Idaho,275,child,2.6
2493,Idaho,300,child,2.6
2496,Idaho,325,child,2.5
2499,Idaho,350,child,2.4
2502,Idaho,375,child,2.2
2505,Idaho,400,child,2.1
2508,Idaho,425,child,2.0
2511,Idaho,450,child,2.0
2514,Idaho,475,child,2.0
2517,Idaho,500,child,1.8
693,Illinois,0,child,14.1
696,Illinois,25,child,13.5
699,Illinois,50,child,12.7
702,Illinois,75,child,11.6
705,Illinois,100,child,10.7
708,Illinois,125,child,10.4
711,Illinois,150,child,9.6
714,Illinois,175,child,9.1
717,Illinois,200,child,8.3
720,Illinois,225,child,7.5
723,Illinois,250,child,6.7
726,Illinois,275,child,6.1
729,Illinois,300,child,5.8
732,Illinois,325,child,5.6
735,Illinois,350,child,5.2
738,Illinois,375,child,4.8
741,Illinois,400,child,4.5
744,Illinois,425,child,3.8
747,Illinois,450,child,3.6
750,Illinois,475,child,3.2
753,Illinois,500,child,3.1
630,Indiana,0,child,12.4
633,Indiana,25,child,11.9
636,Indiana,50,child,11.6
639,Indiana,75,child,10.0
642,Indiana,100,child,9.3
645,Indiana,125,child,8.8
648,Indiana,150,child,8.8
651,Indiana,175,child,8.2
654,Indiana,200,child,7.4
657,Indiana,225,child,6.3
660,Indiana,250,child,5.5
663,Indiana,275,child,5.3
666,Indiana,300,child,5.0
669,Indiana,325,child,4.8
672,Indiana,350,child,4.5
675,Indiana,375,child,4.0
678,Indiana,400,child,3.7
681,Indiana,425,child,3.5
684,Indiana,450,child,3.3
687,Indiana,475,child,3.0
690,Indiana,500,child,2.8
945,Iowa,0,child,7.4
948,Iowa,25,child,7.0
951,Iowa,50,child,6.6
954,Iowa,75,child,6.3
957,Iowa,100,child,6.0
960,Iowa,125,child,5.5
963,Iowa,150,child,5.4
966,Iowa,175,child,5.1
969,Iowa,200,child,4.3
972,Iowa,225,child,4.3
975,Iowa,250,child,4.0
978,Iowa,275,child,3.5
981,Iowa,300,child,3.1
984,Iowa,325,child,3.0
987,Iowa,350,child,2.6
990,Iowa,375,child,2.6
993,Iowa,400,child,2.6
996,Iowa,425,child,2.1
999,Iowa,450,child,2.0
1002,Iowa,475,child,2.0
1005,Iowa,500,child,2.0
1260,Kansas,0,child,7.8
1263,Kansas,25,child,7.4
1266,Kansas,50,child,6.4
1269,Kansas,75,child,6.0
1272,Kansas,100,child,5.8
1275,Kansas,125,child,5.3
