,state,ca_monthly,age_group,poverty_rate
1134,South Dakota,0,child,10.3
1137,South Dakota,25,child,8.6
1140,South Dakota,50,child,7.7
1143,South Dakota,75,child,7.1
1146,South Dakota,100,child,6.6
1149,South Dakota,125,child,6.5
1152,South Dakota,150,child,6.3
1155,South Dakota,175,child,5.6
1158,South Dakota,200,child,5.2
1161,South Dakota,225,child,5.2
1164,South Dakota,250,child,4.4
1167,South Dakota,275,child,4.3
1170,South Dakota,300,child,3.5
1173,South Dakota,325,child,3.4
1176,South Dakota,350,child,3.1
1179,South Dakota,375,child,2.9
1182,South Dakota,400,child,2.6
1185,South Dakota,425,child,2.4
1188,South Dakota,450,child,2.1
1191,South Dakota,475,child,1.8
1194,South Dakota,500,child,1.6
1953,Tennessee,0,child,13.3
1956,Tennessee,25,child,13.0
1959,Tennessee,50,child,11.9
1962,Tennessee,75,child,11.2
1965,Tennessee,100,child,10.5
1968,Tennessee,125,child,9.9
1971,Tennessee,150,child,8.9
1974,Tennessee,175,child,8.7
1977,Tennessee,200,child,8.4
1980,Tennessee,225,child,7.4
1983,Tennessee,250,child,6.6
1986,Tennessee,275,child,6.2
1989,Tennessee,300,child,6.2
1992,Tennessee,325,child,5.8
1995,Tennessee,350,child,5.8
1998,Tennessee,375,child,5.3
2001,Tennessee,400,child,4.7
2004,Tennessee,425,child,4.3
2007,Tennessee,450,child,4.0
2010,Tennessee,475,child,3.6
2013,Tennessee,500,child,3.6
2331,Texas,0,child,16.2
2334,Texas,25,child,15.4
2337,Texas,50,child,14.0
2340,Texas,75,child,13.1
2343,Texas,100,child,12.2
2346,Texas,125,child,11.7
2349,Texas,150,child,11.1
2352,Texas,175,child,10.3
2355,Texas,200,child,9.5
2358,Texas,225,child,8.9
2361,Texas,250,child,8.4
2364,Texas,275,child,7.9
2367,Texas,300,child,7.2
2370,Texas,325,child,6.7
2373,Texas,350,child,6.3
2376,Texas,375,child,5.9
2379,Texas,400,child,5.7
2382,Texas,425,child,5.4
2385,Texas,450,child,5.0
2388,Texas,475,child,4.7
2391,Texas,500,child,4.4
2772,Utah,0,child,8.2
2775,Utah,25,child,7.8
2778,Utah,50,child,7.2
2781,Utah,75,child,6.5
2784,Utah,100,child,6.2
2787,Utah,125,child,6.1
2790,Utah,150,child,5.7
2793,Utah,175,child,5.7
2796,Utah,200,child,5.3
2799,Utah,225,child,4.9
2802,Utah,250,child,4.7
2805,Utah,275,child,4.3
2808,Utah,300,child,3.6
2811,Utah,325,child,3.6
2814,Utah,350,child,3.5
2817,Utah,375,child,3.3
2820,Utah,400,child,3.1
2823,Utah,425,child,3.0
2826,Utah,450,child,2.9
2829,Utah,475,child,2.9
2832,Utah,500,child,2.8
126,Vermont,0,child,10.4
129,Vermont,25,child,9.5
132,Vermont,50,child,9.1
135,Vermont,75,child,8.8
138,Vermont,100,child,8.2
141,Vermont,125,child,8.0
144,Vermont,150,child,7.8
147,Vermont,175,child,7.4
150,Vermont,200,child,7.0
153,Vermont,225,child,6.8
156,Vermont,250,child,6.5
159,Vermont,275,child,6.4
162,Vermont,300,child,6.4
165,Vermont,325,child,6.2
168,Vermont,350,child,5.4
171,Vermont,375,child,5.1
174,Vermont,400,child,4.8
177,Vermont,425,child,4.7
180,Vermont,450,child,4.4
183,Vermont,475,child,4.2
186,Vermont,500,child,4.1
1512,Virginia,0,child,14.9
1515,Virginia,25,child,14.5
1518,Virginia,50,child,13.9
1521,Virginia,75,child,12.5
1524,Virginia,100,child,11.9
1527,Virginia,125,child,11.1
1530,Virginia,150,child,10.5
1533,Virginia,175,child,9.9
1536,Virginia,200,child,9.7
1539,Virginia,225,child,9.2
1542,Virginia,250,child,8.6
1545,Virginia,275,child,8.3
1548,Virginia,300,child,7.7
1551,Virginia,325,child,7.4
1554,Virginia,350,child,7.2
1557,Virginia,375,child,6.6
1560,Virginia,400,child,5.8
1563,Virginia,425,child,5.4
1566,Virginia,450,child,5.0
1569,Virginia,475,child,4.9
1572,Virginia,500,child,4.9
2898,Washington,0,child,10.9
2901,Washington,25,child,10.5
2904,Washington,50,child,9.3
2907,Washington,75,child,8.5
2910,Washington,100,child,8.1
2913,Washington,125,child,7.8
2916,Washington,150,child,7.2
2919,Washington,175,child,6.9
2922,Washington,200,child,6.7
2925,Washington,225,child,6.5
2928,Washington,250,child,6.0
2931,Washington,275,child,5.6
2934,Washington,300,child,5.5
2937,Washington,325,child,4.7
2940,Washington,350,child,4.5
2943,Washington,375,child,4.2
2946,Washington,400,child,4.1
2949,Washington,425,child,4.0
2952,Washington,450,child,3.8
2955,Washington,475,child,3.7
2958,Washington,500,child,3.6
1575,West Virginia,0,child,16.0
1578,West Virginia,25,child,15.1
1581,West Virginia,50,child,14.5
1584,West Virginia,75,child,13.2
1587,West Virginia,100,child,12.3
1590,West Virginia,125,child,11.7
1593,West Virginia,150,child,10.8
1596,West Virginia,175,child,10.2
1599,West Virginia,200,child,9.6
1602,West Virginia,225,child,9.0
1605,West Virginia,250,child,7.9
1608,West Virginia,275,child,7.5
1611,West Virginia,300,child,6.8
1614,West Virginia,325,child,5.9
1617,West Virginia,350,child,5.5
1620,West Virginia,375,child,5.0
1623,West Virginia,400,child,4.5
1626,West Virginia,425,child,4.3
1629,West Virginia,450,child,4.2
1632,West Virginia,475,child,4.0
1635,West Virginia,500,child,3.7
819,Wisconsin,0,child,8.1
822,Wisconsin,25,child,7.7
825,Wisconsin,50,child,6.9
828,Wisconsin,75,child,6.1
831,Wisconsin,100,child,5.6
834,Wisconsin,125,child,5.6
837,Wisconsin,150,child,5.4
840,Wisconsin,175,child,4.8
843,Wisconsin,200,child,4.5
846,Wisconsin,225,child,4.4
849,Wisconsin,250,child,4.3
852,Wisconsin,275,child,4.3
855,Wisconsin,300,child,4.1
858,Wisconsin,325,child,3.7
861,Wisconsin,350,child,3.3
864,Wisconsin,375,child,2.9
867,Wisconsin,400,child,2.9
870,Wisconsin,425,child,2.7
873,Wisconsin,450,child,2.5
876,Wisconsin,475,child,2.4
879,Wisconsin,500,child,2.2
2520,Wyoming,0,child,10.1
2523,Wyoming,25,child,9.3
2526,Wyoming,50,child,8.9
2529,Wyoming,75,child,8.3
2532,Wyoming,100,child,7.9
2535,Wyoming,125,child,7.8
2538,Wyoming,150,child,7.0
2541,Wyoming,175,child,6.5
2544,Wyoming,200,child,6.1
2547,Wyoming,225,child,6.0
2550,Wyoming,250,child,5.6
2553,Wyoming,275,child,5.4
2556,Wyoming,300,child,4.9
2559,Wyoming,325,child,4.5
2562,Wyoming,350,child,4.5
2565,Wyoming,375,child,4.4
2568,Wyoming,400,child,4.2
2571,Wyoming,425,child,3.9
2574,Wyoming,450,child,3.6
2577,Wyoming,475,child,3.4
2580,Wyoming,500,child,2.8
