,code,state,ca_monthly,poverty_rate
200,GA,Georgia,275,8.7
201,GA,Georgia,300,8.3
202,GA,Georgia,325,7.8
203,GA,Georgia,350,7.5
204,GA,Georgia,375,7.1
205,GA,Georgia,400,7.0
206,GA,Georgia,425,6.7
207,GA,Georgia,450,5.8
208,GA,Georgia,475,5.0
209,GA,Georgia,500,4.7
210,HI,Hawaii,0,16.1
211,HI,Hawaii,25,15.2
212,HI,Hawaii,50,14.5
213,HI,Hawaii,75,14.2
214,HI,Hawaii,100,13.5
215,HI,Hawaii,125,12.7
216,HI,Hawaii,150,12.1
217,HI,Hawaii,175,11.0
218,HI,Hawaii,200,9.7
219,HI,Hawaii,225,9.0
220,HI,Hawaii,250,8.5
221,HI,Hawaii,275,7.9
222,HI,Hawaii,300,7.0
223,HI,Hawaii,325,6.8
224,HI,Hawaii,350,6.8
225,HI,Hawaii,375,6.8
226,HI,Hawaii,400,6.6
227,HI,Hawaii,425,6.6
228,HI,Hawaii,450,6.0
229,HI,Hawaii,475,4.9
230,HI,Hawaii,500,4.4
231,ID,Idaho,0,7.6
232,ID,Idaho,25,6.6
233,ID,Idaho,50,6.4
234,ID,Idaho,75,5.7
235,ID,Idaho,100,5.0
236,ID,Idaho,125,4.5
237,ID,Idaho,150,4.4
238,ID,Idaho,175,4.1
239,ID,Idaho,200,3.6
240,ID,Idaho,225,3.2
241,ID,Idaho,250,2.8
242,ID,Idaho,275,2.6
243,ID,Idaho,300,2.6
244,ID,Idaho,325,2.5
245,ID,Idaho,350,2.4
246,ID,Idaho,375,2.2
247,ID,Idaho,400,2.1
248,ID,Idaho,425,2.0
249,ID,Idaho,450,2.0
250,ID,Idaho,475,2.0
251,ID,Idaho,500,1.8
252,IL,Illinois,0,14.1
253,IL,Illinois,25,13.5
254,IL,Illinois,50,12.7
255,IL,Illinois,75,11.6
256,IL,Illinois,100,10.7
257,IL,Illinois,125,10.4
258,IL,Illinois,150,9.6
259,IL,Illinois,175,9.1
260,IL,Illinois,200,8.3
261,IL,Illinois,225,7.5
262,IL,Illinois,250,6.7
263,IL,Illinois,275,6.1
264,IL,Illinois,300,5.8
265,IL,Illinois,325,5.6
266,IL,Illinois,350,5.2
267,IL,Illinois,375,4.8
268,IL,Illinois,400,4.5
269,IL,Illinois,425,3.8
270,IL,Illinois,450,3.6
271,IL,Illinois,475,3.2
272,IL,Illinois,500,3.1
273,IN,Indiana,0,12.4
274,IN,Indiana,25,11.9
275,IN,Indiana,50,11.6
276,IN,Indiana,75,10.0
277,IN,Indiana,100,9.3
278,IN,Indiana,125,8.8
279,IN,Indiana,150,8.8
280,IN,Indiana,175,8.2
281,IN,Indiana,200,7.4
282,IN,Indiana,225,6.3
283,IN,Indiana,250,5.5
284,IN,Indiana,275,5.3
285,IN,Indiana,300,5.0
286,IN,Indiana,325,4.8
287,IN,Indiana,350,4.5
288,IN,Indiana,375,4.0
289,IN,Indiana,400,3.7
290,IN,Indiana,425,3.5
291,IN,Indiana,450,3.3
292,IN,Indiana,475,3.0
293,IN,Indiana,500,2.8
294,IA,Iowa,0,7.4
295,IA,Iowa,25,7.0
